# time(1) RNAp_RNA(2) RNAp_DNA(3) DNAp_RNA(4) DNAp_DNA(5) para_RNA(6) para_DNA(7) RNAp_RNArecog(8) RNAp_DNArecog(9) RNAp_fold(10) DNAp_RNArecog(11) DNAp_DNArecog(12) DNAp_fold(13) para_fold(14) vesicle_pop(15) mean_vol(16) mean_target_vol(17) mean_repli_density(18)
115000 39666 8615 8990 31545 41511 4653 0.460186 0.220685 0 0.0616224 0.971048 0 0 0 0 0 0 
116000 37102 9765 10316 33293 41075 5038 0.453773 0.271413 0 0.0660175 0.971937 0 0 0 0 0 0 
117000 29636 9863 10506 38159 35074 4811 0.435068 0.322281 0 0.0624376 0.97158 0 0 0 0 0 0 
118000 35193 9886 10346 38185 37929 4849 0.437217 0.279282 0 0.0610849 0.970509 0 0 0 0 0 0 
119000 28392 12297 13034 45323 33762 5897 0.418968 0.384946 0 0.0614566 0.972182 0 0 0 0 0 0 
120000 32504 12229 13204 47170 30954 5012 0.422471 0.34829 0 0.0590743 0.971946 0 0 0 0 0 0 
121000 31238 12312 12690 46466 30802 5181 0.414464 0.353463 0 0.0548241 0.97202 0 0 0 0 0 0 
122000 35430 13023 13903 49591 26983 5190 0.425652 0.330663 0 0.0536187 0.969693 0 0 0 0 0 0 
123000 31211 15924 15546 54533 26993 5860 0.393194 0.417217 0 0.0573386 0.970015 0 0 0 0 0 0 
124000 27710 15388 14936 55301 22589 6699 0.389797 0.427824 0 0.0574319 0.969918 0 0 0 0 0 0 
125000 28071 15049 15393 59422 21790 6930 0.382107 0.417259 0 0.0595085 0.9694 0 0 0 0 0 0 
126000 34317 12428 12958 48153 26994 5728 0.426568 0.318135 0 0.0604545 0.968159 0 0 0 0 0 0 
127000 37935 11197 12260 44242 30589 5158 0.444126 0.278298 0 0.0610498 0.966172 0 0 0 0 0 0 
128000 33758 12690 12922 46077 31303 6169 0.42046 0.326038 0 0.0565191 0.966474 0 0 0 0 0 0 
129000 31785 12045 12767 45019 30116 5961 0.418128 0.334251 0 0.0581676 0.966701 0 0 0 0 0 0 
130000 28523 12199 13380 48316 32069 6862 0.40638 0.376542 0 0.0555478 0.963352 0 0 0 0 0 0 
131000 32399 12042 12581 44683 29590 5847 0.411279 0.342651 0 0.0522003 0.962785 0 0 0 0 0 0 
132000 30943 11859 13108 46975 30310 5707 0.413332 0.352417 0 0.053352 0.963958 0 0 0 0 0 0 
133000 35563 13027 13588 49079 30816 5717 0.433306 0.320503 0 0.0541139 0.964787 0 0 0 0 0 0 
134000 31902 12862 13714 49669 27910 5854 0.414645 0.354833 0 0.0533423 0.965765 0 0 0 0 0 0 
135000 30771 11942 12678 45922 27059 5155 0.42302 0.348548 0 0.0524726 0.965094 0 0 0 0 0 0 
136000 32255 11258 12712 46140 29661 4924 0.42102 0.3256 0 0.0502132 0.963645 0 0 0 0 0 0 
137000 33730 11991 12750 45984 31203 5042 0.433152 0.329105 0 0.0496941 0.965405 0 0 0 0 0 0 
138000 33968 12614 13482 47709 31724 5600 0.426639 0.334434 0 0.0494042 0.96715 0 0 0 0 0 0 
139000 34894 11726 12508 47910 30090 5098 0.440423 0.302723 0 0.0472949 0.967448 0 0 0 0 0 0 
140000 36462 11749 12331 42581 31510 4461 0.431572 0.315838 0 0.0457712 0.96601 0 0 0 0 0 0 
141000 28770 12513 13216 48700 29697 5557 0.414599 0.3659 0 0.0500674 0.963752 0 0 0 0 0 0 
142000 33082 11531 12637 45312 32497 5143 0.431123 0.322072 0 0.0531334 0.964848 0 0 0 0 0 0 
143000 36841 10391 11228 40656 37480 4864 0.429685 0.275769 0 0.0527684 0.96545 0 0 0 0 0 0 
144000 35138 10912 11397 40267 35234 4085 0.433005 0.289809 0 0.0543722 0.965895 0 0 0 0 0 0 
145000 32106 12426 12962 45290 35281 4611 0.427715 0.349077 0 0.0534838 0.968302 0 0 0 0 0 0 
146000 36000 12573 13216 47640 29368 5016 0.423141 0.327148 0 0.0531006 0.967588 0 0 0 0 0 0 
147000 28998 13999 14526 50959 28908 5675 0.404002 0.402568 0 0.0571108 0.968745 0 0 0 0 0 0 
148000 29497 12443 12608 46944 29378 6692 0.413394 0.364223 0 0.0618011 0.967861 0 0 0 0 0 0 
149000 31347 11596 12638 46239 28197 5444 0.421253 0.346616 0 0.0640464 0.965687 0 0 0 0 0 0 
150000 31718 11096 12255 43749 29492 5495 0.418234 0.33409 0 0.059338 0.964966 0 0 0 0 0 0 
151000 32747 11050 11769 42440 33800 5137 0.421378 0.3159 0 0.0584576 0.96481 0 0 0 0 0 0 
152000 40565 12533 13207 45361 33457 5619 0.422736 0.308725 0 0.0596311 0.968466 0 0 0 0 0 0 
153000 35167 12132 12432 43195 31885 5397 0.428654 0.312768 0 0.0624324 0.968848 0 0 0 0 0 0 
154000 40071 11153 11118 40365 28994 5518 0.446125 0.255055 0 0.0582331 0.968996 0 0 0 0 0 0 
155000 38697 10923 11821 40550 34985 4744 0.448544 0.272483 0 0.0571355 0.969053 0 0 0 0 0 0 
156000 31485 11645 11669 41549 34259 4609 0.427954 0.322253 0 0.0566774 0.968763 0 0 0 0 0 0 
157000 31884 11418 11932 43121 33296 5325 0.442619 0.317602 0 0.0567685 0.96601 0 0 0 0 0 0 
158000 33089 12344 12475 45294 30785 6423 0.430833 0.331704 0 0.0583553 0.967014 0 0 0 0 0 0 
159000 38154 11724 12114 44311 28320 5378 0.447059 0.300571 0 0.054695 0.965418 0 0 0 0 0 0 
160000 32630 12040 11967 42835 30776 5937 0.426655 0.325941 0 0.0594569 0.966846 0 0 0 0 0 0 
161000 31187 12775 13431 46810 30943 6035 0.4255 0.362008 0 0.0560245 0.967367 0 0 0 0 0 0 
162000 29895 12567 12919 47516 29036 5875 0.424491 0.360147 0 0.0555404 0.967163 0 0 0 0 0 0 
163000 34910 12063 12972 46777 31680 5809 0.435652 0.320059 0 0.0539844 0.968165 0 0 0 0 0 0 
164000 34313 12077 12510 46210 32125 4484 0.44134 0.306032 0 0.0504967 0.967665 0 0 0 0 0 0 
165000 27864 12506 12697 47958 29407 5545 0.413146 0.366548 0 0.0510959 0.969251 0 0 0 0 0 0 
166000 31522 11647 12054 44183 28389 5127 0.433566 0.324273 0 0.0472581 0.968147 0 0 0 0 0 0 
167000 34963 10809 11821 41789 34116 4974 0.446778 0.302725 0 0.049507 0.964255 0 0 0 0 0 0 
168000 34899 11242 12076 43202 35022 4523 0.449941 0.300927 0 0.0477498 0.964668 0 0 0 0 0 0 
169000 32630 10600 11661 42092 34031 4112 0.44344 0.309706 0 0.0457007 0.964779 0 0 0 0 0 0 
170000 33728 10776 11823 40783 36078 4149 0.451039 0.315311 0 0.0443074 0.965962 0 0 0 0 0 0 
171000 37635 9859 11117 42032 36513 3958 0.468439 0.264401 0 0.0450551 0.96709 0 0 0 0 0 0 
172000 31752 9690 10579 39940 38029 4631 0.468591 0.287918 0 0.0485733 0.966938 0 0 0 0 0 0 
173000 37437 10160 11495 37895 39991 4903 0.468225 0.279672 0 0.0465009 0.966734 0 0 0 0 0 0 
174000 33477 9689 10600 37554 34676 5202 0.456989 0.295119 0 0.0464769 0.9653 0 0 0 0 0 0 
175000 34773 9131 10376 36000 39007 5175 0.459451 0.271346 0 0.047399 0.967963 0 0 0 0 0 0 
176000 33771 8302 9231 33168 39376 4342 0.452261 0.265199 0 0.0437568 0.965976 0 0 0 0 0 0 
177000 36733 10417 11721 40092 36891 4857 0.442943 0.301101 0 0.0457889 0.965021 0 0 0 0 0 0 
178000 32457 11007 11868 40471 31582 4622 0.433073 0.338277 0 0.0461582 0.966053 0 0 0 0 0 0 
179000 29340 11632 11983 42547 35421 5403 0.405472 0.356135 0 0.0467676 0.96556 0 0 0 0 0 0 
180000 29204 12663 12870 49743 28090 4902 0.414948 0.361857 0 0.0501606 0.965536 0 0 0 0 0 0 
181000 28816 12771 13584 51733 25399 6120 0.410679 0.37541 0 0.0527888 0.967616 0 0 0 0 0 0 
182000 35385 12927 13933 49526 29288 6101 0.443456 0.333843 0 0.0495736 0.968361 0 0 0 0 0 0 
183000 25872 15149 15832 56270 24391 6884 0.396827 0.454355 0 0.0526271 0.968813 0 0 0 0 0 0 
184000 30531 15232 15614 55927 21061 7358 0.414725 0.408531 0 0.0555689 0.968244 0 0 0 0 0 0 
185000 29920 13544 15468 53943 24161 7728 0.43551 0.391361 0 0.0531571 0.96902 0 0 0 0 0 0 
186000 32380 13145 14053 48985 27033 6934 0.43756 0.363401 0 0.0521953 0.969116 0 0 0 0 0 0 
187000 34551 12065 13517 46535 29684 7005 0.465215 0.325749 0 0.0513311 0.969875 0 0 0 0 0 0 
188000 31797 12278 12754 45551 34921 6337 0.45616 0.340045 0 0.0482023 0.970531 0 0 0 0 0 0 
189000 28190 12266 13048 48622 30842 5986 0.437449 0.377475 0 0.0474476 0.973256 0 0 0 0 0 0 
190000 36237 13087 13978 49048 28832 5285 0.461547 0.32978 0 0.0508408 0.97373 0 0 0 0 0 0 
191000 24773 13760 14027 52004 25461 6162 0.411916 0.442715 0 0.0508629 0.974273 0 0 0 0 0 0 
192000 27543 13302 13786 51761 23658 6933 0.443163 0.403446 0 0.0504121 0.973823 0 0 0 0 0 0 
193000 34056 13195 13985 51749 30193 5495 0.446032 0.342702 0 0.0493641 0.9741 0 0 0 0 0 0 
194000 33047 12617 13065 48858 31450 5311 0.444272 0.335225 0 0.0517235 0.969805 0 0 0 0 0 0 
195000 31993 14293 15144 51389 31792 6594 0.442365 0.378532 0 0.0509947 0.968352 0 0 0 0 0 0 
196000 31985 11966 13141 48624 29875 6365 0.456495 0.333136 0 0.0554795 0.967451 0 0 0 0 0 0 
197000 30349 12679 13964 48382 29815 6779 0.445467 0.369318 0 0.0524458 0.968603 0 0 0 0 0 0 
198000 32000 12492 13113 45614 33109 6371 0.435293 0.349435 0 0.0532125 0.968421 0 0 0 0 0 0 
199000 29883 12220 12600 45496 33904 5281 0.451231 0.35066 0 0.0500267 0.969453 0 0 0 0 0 0 
200000 28275 11862 12239 47668 28788 4780 0.437729 0.371652 0 0.0471629 0.97134 0 0 0 0 0 0 
201000 28238 13063 14420 52826 25580 6071 0.416174 0.401307 0 0.047393 0.971055 0 0 0 0 0 0 
202000 31011 14432 15033 55466 28537 5518 0.414154 0.386616 0 0.049566 0.970199 0 0 0 0 0 0 
203000 27621 14514 14627 53611 20206 5807 0.409306 0.409164 0 0.0486158 0.971664 0 0 0 0 0 0 
204000 35554 14823 16116 53642 26980 5427 0.43707 0.375609 0 0.0502622 0.972536 0 0 0 0 0 0 
205000 32629 14770 14975 55823 25448 6105 0.438377 0.360414 0 0.0501687 0.973657 0 0 0 0 0 0 
206000 35364 12292 13245 47746 30537 6230 0.461552 0.317459 0 0.0479612 0.973348 0 0 0 0 0 0 
207000 32725 11285 11728 42671 37013 5693 0.457912 0.315592 0 0.0458984 0.972262 0 0 0 0 0 0 
208000 34370 11309 12567 43354 33661 5518 0.457785 0.315476 0 0.0429011 0.97086 0 0 0 0 0 0 
209000 37637 11580 12629 43481 34402 5463 0.467266 0.290088 0 0.0444164 0.970187 0 0 0 0 0 0 
210000 31041 9611 10614 38397 34749 4708 0.45585 0.306409 0 0.0427447 0.969146 0 0 0 0 0 0 
211000 34355 10873 11748 39264 34250 5059 0.447456 0.323951 0 0.0451538 0.969034 0 0 0 0 0 0 
212000 29195 11503 12393 44273 29951 5945 0.441584 0.373671 0 0.0542024 0.969047 0 0 0 0 0 0 
213000 32648 11378 11739 42229 36359 6492 0.451657 0.310425 0 0.0613236 0.969711 0 0 0 0 0 0 
214000 32394 11274 11491 40774 31843 5387 0.450027 0.324255 0 0.0645482 0.968228 0 0 0 0 0 0 
215000 35445 10798 12029 41100 37084 6198 0.46355 0.296875 0 0.0641335 0.967863 0 0 0 0 0 0 
216000 26850 10209 10960 41306 37506 5887 0.445003 0.34731 0 0.062269 0.96804 0 0 0 0 0 0 
217000 38684 10008 11054 40782 39684 4957 0.48461 0.283001 0 0.0580536 0.967001 0 0 0 0 0 0 
218000 32684 11152 12073 41166 35590 5684 0.461426 0.330478 0 0.0554159 0.966375 0 0 0 0 0 0 
219000 35463 10512 11408 39960 33346 4845 0.480272 0.290528 0 0.0539523 0.966236 0 0 0 0 0 0 
220000 32415 12281 13094 45826 35924 5563 0.464764 0.342896 0 0.0523805 0.970126 0 0 0 0 0 0 
221000 30886 12296 13286 46139 32459 5386 0.459118 0.362879 0 0.0535851 0.970616 0 0 0 0 0 0 
222000 29935 11331 11513 43009 32714 4895 0.457293 0.342606 0 0.0518682 0.97121 0 0 0 0 0 0 
223000 31619 11717 12172 44940 31170 5291 0.448788 0.34278 0 0.0503587 0.971603 0 0 0 0 0 0 
224000 31080 12419 13245 46267 30260 5332 0.435508 0.36765 0 0.053128 0.970778 0 0 0 0 0 0 
225000 30763 13492 14391 50568 28609 5565 0.434701 0.391724 0 0.0504318 0.96779 0 0 0 0 0 0 
226000 30400 14729 15284 54430 25545 5668 0.42534 0.409937 0 0.0557767 0.966628 0 0 0 0 0 0 
227000 38216 15125 16779 56196 25146 6404 0.444745 0.357627 0 0.0545139 0.966044 0 0 0 0 0 0 
228000 31106 13803 14305 50342 30704 6057 0.444581 0.368278 0 0.0539628 0.966889 0 0 0 0 0 0 
229000 36684 14208 14969 53598 28711 5604 0.455755 0.343186 0 0.0537593 0.965194 0 0 0 0 0 0 
230000 27963 14355 15636 53864 25223 5854 0.432927 0.426118 0 0.0543733 0.965022 0 0 0 0 0 0 
231000 31162 13592 14661 51402 25783 6760 0.450689 0.376401 0 0.0506907 0.966735 0 0 0 0 0 0 
232000 32948 11905 13276 46771 30972 7045 0.476413 0.319449 0 0.0482656 0.966436 0 0 0 0 0 0 
233000 32530 9919 10823 39737 37008 6021 0.478804 0.296117 0 0.0435779 0.965645 0 0 0 0 0 0 
234000 33947 10023 11149 38938 42279 5659 0.489132 0.294707 0 0.0458178 0.96723 0 0 0 0 0 0 
235000 37092 8362 9057 34287 40001 4564 0.495867 0.235491 0 0.0474529 0.967364 0 0 0 0 0 0 
236000 28962 9499 9717 35933 35527 4268 0.462988 0.301651 0 0.0487942 0.968398 0 0 0 0 0 0 
237000 32829 9642 10259 38648 37821 4638 0.461884 0.290545 0 0.0520897 0.967345 0 0 0 0 0 0 
238000 30736 9327 10424 36319 36584 5188 0.460571 0.314499 0 0.0543319 0.966769 0 0 0 0 0 0 
